Vendor,Name,Price,Unit Type
European Imports,Duck Liver Mousse Slice,3.20,each,,
European Imports,LaQuercia Prosciutto,4.90,each,,
European Imports,Nueske Bacon,6.40,each,,
European Imports,Smoked Salmon,4.80,each,,
European Imports,Smoked Duck Breast,9.90,each,,
European Imports,La Tur Cheese,18.70,pound,,
European Imports,Parmesan Reggiano,10.70,pound,,
European Imports,Petite Basque,13.00,pound,,
European Imports,Fayette Cheddar Spread,3.50,each,,
European Imports,Plugra Butter,3.10,each,,
European Imports,Coconut Curry Sauce,5.10,each,,
European Imports,Frantoia EVOO,19.20,each,,
European Imports,Spinach/Egg Fettucine,2.60,each,,
European Imports,La Panz Croccantini,3.60,each,,
European Imports,POM Tomatoes,3.10,each,,
European Imports,Ritter Choc/Hazelnut Bar,2.10,each,,
European Imports,Marich Choc/Salt Caramels,1.40,each,,
European Imports,Scharffenberger Nibs (spcl),5.20,each,,
European Imports,Cocoa Powder (spcl),15.00,each,,
Fortune Fish Company,Organic Salmon,11.00,pound,,
Fortune Fish Company,Jumbo Cod Fillet,14.00,pound,,
Fortune Fish Company,Corvina Sea Bass,15.00,lb,,
Fortune Fish Company,Scallops,20.00,lb,,
Fortune Fish Company,Shrimp/2# bag,26.80,bag,,
Fortune Fish Company,Coromandel Oysters (spcl),1.35,each,,
JDY Meats,Burger Patties (spcl),4.50,pound,,
JDY Meats,Hanger Steaks ,13.20,pound,,
JDY Meats,Veal Osso Bucco,13.80,pound,,
JDY Meats,Collins Caviar/Citron ,6.00,each,,
JDY Meats,Cheese Spread,,,,
JDY Meats,Bellwether Cream Fraiche,2.70,each,,
JDY Meats,Ameribella Cheese,14.50,pound,,
JDY Meats,Creminelli Soppressata,5.60,each,,
JDY Meats,Marcona Almonds,4.90,each,,
JDY Meats,Martiz Piquillo Peppers,6.70,each,,
JDY Meats,Rustic Flatbreads,4.30,each,,
JDY Meats,Spindrift Blackberry Soda,1.70,each,,
Tekla,Couscous,5.10,each,,
Tekla,Champagne Vinegar,6.30,each,,
Tekla,Olivir EVOO Spray,8.20,each,,
Tekla,Olivir EVOO,10.40,each,,
Tekla,White Truffle Oil,8.30,each,,
Tekla,Langhe Robiola,17.70,each,,
Tekla,"Pascualete Mini, Sheep",11.00,each,,
Tekla,Taleggio,18.90,pound,,
Tekla,Chestnut Honey,7.80,each,,
Tekla,Provencal Olives,6.00,each,,
LOCAL FOODS,Eggs,3.20,dozen,,
LOCAL FOODS,Grass Fed Beef Stew Meat,5.00,pkg,,
LOCAL FOODS,Hand Rolled Unsalted Butter,4.00,each,,
LOCAL FOODS,Smoked Turkey Breast,6.70,pound,,
LOCAL FOODS,Seedling Apple Cider,4.90,each,,
LOCAL FOODS,Salad Mix,9.50,pound,,
LOCAL FOODS,Shitake Mushrooms,8.00,pound,,
D'Artagnan,Aussie Lamb Rack,16.80,pound,,
D'Artagnan,Buffalo Short Ribs,10.20,pound,,
D'Artagnan,Chicken/Truffle Sausages,4.90,pkg,,
D'Artagnan,Black Truffle Butter,4.50,each,,
D'Artagnan,Poissons ,6.00,pound,,
D'Artagnan,Wagu Beef Brisket (pre),9.00,pound,,
D'Artagnan,Veal Chops (spcl),27.50,pound,,
Intelligentsia,Itzamna Guatemala,10.15,bag,,
Intelligentsia,Otono Blend,10.90,bag,,
Intelligentsia,Decaf El Mago,10.95,bag,,
Intelligentsia,El Diablo,9.25,bag,,
Intelligentsia,House Blend,9.15,bag,,
Intelligentsia,Analog Espresso,9.30,bag,,
Intelligentsia,Sapsucker Espresso,10.20,bag,,
La Farine Bakery,Eggplant Dip,,each,,
La Farine Bakery,Onion Dip,,each,,
La Farine Bakery,Spicy Tomato Dip,,each,,
La Farine Bakery,Spinach/Feta Quiche,,each,,
La Farine Bakery,Broccoli/Cheddar Quiche,,each,,
La Farine Bakery,Broccoli Turnovers,,each,,
La Farine Bakery,Apple Turnovers,,each,,
La Farine Bakery,Demi-Baguette,,each,,
La Farine Bakery,Almond Croissants,,each,,
Hewn Bakery,Loaf Bread,5.40,each,,
Hewn Bakery,Nutella Brioche,11.00,each,,
Hewn Bakery,Plain Croissants,2.70,each,,
Hewn Bakery,Choc Croissants,2.90,each,,
Hewn Bakery,Savory Scones,2.70,each,,
